National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
SW-2018-1199402,HSU20180108-SL7,"Whale, gray",CA,Humboldt,Orick,500 meters north of Stone Lagoon parking lot,41.26055,decimal degrees,-124.0994,decimal degrees,CBD,,,,,,,,,,,,,,N,,,,,,,,1/7/18,Beach or Land,Fresh Dead,,1/8/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,377,cm,actual,,,notMeasured,Y,Y,,,,,,,,,,,,,,N,,,"Carcass reported by HSUMMSP volunteer 1/7/2018. No signs of injury or illness on external examination. Neonate calf with partially healed umbilicus and fetal folds. Collected basic cetacean measurements, photos, upper left baleen, rostril hair follicles, blubber, skin and feces. Blubber layer was 3 cm posterior to left pectoral.",
SW-2018-1200491,HSU20180117-LC2,"Whale, sperm",CA,Humboldt,Honeydew,1 mile south of Spanish Flat on in the Lost Coast,40.185403,decimal degrees,-124.25922,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,1/17/18,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,,notMeasured,,,notMeasured,Y,Y,,,,,,,,,,,,,,N,,,"Carcass reported to HSUMMSP by hikers, unable to access due to road restrictions and weather.",
SW-2018-1199549,SWFSC-KXD0319,"Whale, fin",CA,San Diego,Carlsbad,Cerezo Drive at bottom of staircase,33.128,decimal degrees,-117.334,decimal degrees,CBD,,,,,,,,,,,,,,,,,,,,,,1/20/18,Beach or Land,Advanced Decomposition,,1/20/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,UNKNOWN,,,notMeasured,,,,Y,Y,,,,,,,,,,,,,,N,,,"Fluke, pectoral fins, and skull missing; body was separated after throat grooves making measurements impossible.",
SW-2018-1200507,WCRLB-20170217Uc,"Whale, unidentified baleen",CA,Santa Barbara,Santa Barbara,In the Santa Barbara Channel,34.218467,decimal degrees,-119.379444,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,2/17/18,Floating,Advanced Decomposition,,2/17/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,360,in,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,"Report came through USCG via email. Pale, shark bites",
SW-2018-1200872,WCR-20180227Er,"Whale, gray",CA,San Diego,San Clemente,3-5NM offshore IVO San Clemente,33.394333,decimal degrees,-117.699417,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,2/27/18,Floating,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,240,in,estimate,,,,N,Y,,,,,,,,,,,,,,N,,,"Reported via email by the USCG: SCC has been notified of a deceased 20ft whale approx 3-5NM offshore IVO San Clemente. The marine mammal is reported already deceased, decomposing and appears to have died from unknown causes. The animal is currently located at 33-23.660N 117-41.965W. NOAA NMFS & Stranding/Disentanglement Coordinators has been contacted for this case and will be contacting the reporting source for further details. The LMRO has already been notified. There is no suspected responsible party. MISLE #: 836585 Number of Mammals: 01 Species: Grey Whale Injuries/Situation: Decomposed Location: 33-23.660N 117-41.965W",
SW-2018-1201791,TMMC-C-552,"Whale, gray",CA,Marin,Marin,Racoon Straits,37.8686,decimal degrees,-122.4458,decimal degrees,CBD,,,,,,,,,,,,,,Y,Y,,,,malnutrition,,,3/7/18,Floating,Fresh Dead,Y,3/8/18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,870,cm,actual,,kg,notMeasured,Y,Y,,,,,,,,,,,,,,Y,limited,3/8/18,"Emaciated. Incomplete examination of the cranium and axial skeleton. The carcass was originally reported floating in the shipping channel of San Francisco Bay on March 7th and towed by the Army Corps of Engineers to Angel Island where it was tied off on a west side beach. TMMC and CAS planned to necropsy the whale at low tide (10.30AM) the following morning. A whale of similar size had been reported swimming in the north Bay for over a week, but no information or photos available to determine if this is the same animal.",
SW-2018-1201091,WCR-LB-20180318Er,"Whale, gray",CA,Los Angeles,Catalina Island,3 NM off Catalina Island,33.381,decimal degrees,-118.041,decimal degrees,Y,Y,N,N,,N,,,,,,,,N,N,,,,,,,,3/18/18,Swimming,Alive,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,notMeasured,N,,,,,,,,,,,,,,,N,,,NMFS received calls around 3:45 to report that the Starship Express had struck what they believed to be a gray whale mid channel on the way to Catalina. The Captain said that the whale surfaced about 20 ft in front of the boat when it was traveling at approximately 25 kts so there was no way to stop or avoid the collision. He did indicate that there was some damage to the bulbous bow and that he believed the whale was injured but alive after the contact.,
SW-2018-1201680,SWFSC-BLH0005,"Whale, gray",CA,San Diego,LA JOLLA,,32.8989,decimal degrees,-117.2772,decimal degrees,Y,Y,C,C,,,,,,,,,,N,N,,,,,,,examined bones and organs beneath laceration site.,3/26/18,Floating,Advanced Decomposition,,3/27/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,1278.5,cm,actual,,,,Y,,,,,,,,,,,Y,,,,Y,limited,4/27/18,"Ferry reported hitting a gray whale 3/18/2018, 3nm off Catalina Is. It is possible that this is that whale. Organs protruding through laceration at right dorsal side at mid-length. Fractured vertebrae in this region.",
SW-2018-1201896,TMMC-C-556,"Whale, gray",CA,Marin,Tiburon,Mouth of Richardson Bay,37.8662,decimal degrees,-122.4354,decimal degrees,Y,Y,N,N,,Y,Copper wire in white rubber,Marine Debris Entanglement,,,,,,Y,Y,,Y,,Y,trauma,,,3/28/18,Floating,Moderate Decomposition,,3/30/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,YEARLING,8000,cm,estimate,,kg,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,3/30/18,"Observed floating in Richardson Bay March 28 2018 early morning, towed by Army Corps of Engineers to Angel Island, with rope around remaining section of peduncle with some difficulty. Skin sloughing, bloated. Flukes and distal penduncle missing. Within a tag of gray necrotic tissue is a wire, 6 inches long, white, copper core, deeply entwined with the necrotic tissue",
SW-2018-1202517,MLMLMM3184,"Whale, gray",CA,Monterey,Marina,1/4 to 1/2 mile North of Reservation Road Parking Lot,36.709311,decimal degrees,-121.807816,decimal degrees,Y,,,Y,Hook & Line Fishery,,,,,,,,,N,Y,,Y,,,,,,4/7/18,Beach or Land,Moderate Decomposition,,4/8/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,672,cm,actual,,,,Y,Y,,,,,,,,,,,,,,Y,limited,4/8/18,"Collected Left eyeball, skin (DMSO), and blubber. Carcass left due to high surf (4/8/18). Killer whale predation: rake marks all over body, tongue and lower jaw missing, scavenging along edges. Hook and line found in carcass from fishery interaction see photos.",
SW-2018-1202899,HSU20180430-GB5,"Whale, minke",CA,Humboldt,Orick,1/2 mile north of kiosk on beach.,41.365536,decimal degrees,-124.07493,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,4/30/18,Beach or Land,Advanced Decomposition,,5/1/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,537,cm,actual,,,notMeasured,Y,Y,Y,,,,,,,,,,,,,N,,,"Carcass reported by NSP officials. Skull buried adjacent to carcass on beach at N41 21'55.8, W124 04'28.8",
SW-2018-1202997,CAS-MAC-237,"Whale, gray",CA,Alameda,Oakland,"Floating in San Francisco Bay, at the end of runway of Oakland Airport.",37.723076,decimal degrees,-122.250023,decimal degrees,Y,Y,,,,,,,,,,,,N,,,,,,,,,5/4/18,Floating,Moderate Decomposition,Y,5/9/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,1340,cm,actual,,,,Y,Y,,,,,,,,,,,,,,Y,complete,5/9/18,See necropsy report for disposition of parts and samples collected,
SW-2018-1202909,TMMC-C-559,"Whale, fin",CA,Alameda,Oakland,Oakland Harbor near the Jack London Aquatic Center/Estuary Park,37.790801,decimal degrees,-122.26363,decimal degrees,Y,Y,,,,,,,,,,,,,Y,,Y,,,trauma,,,5/16/18,Beach or Land,Moderate Decomposition,Y,5/21/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,1377,cm,actual,,kg,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,5/21/18,"On 5/16/2018 at 0530h NOAA/NMFS (Justin Viezbicke) received a report from SF Bay Harbor Pilots regarding a deceased whale (species unknown- possibly Humpback) draped across the bow of a large ship entering the SF Bay. The whale was observed falling off the bow of ship in turning channel near Oakland. On 5/18/2018 at 0650h, TMMC received a report from a local resident in Oakland regarding a deceased whale partially submerged, wedged between posts and pinned underneath a bridge. On 5/18, the Port of Oakland also reported the whale to CAS and described the location as ¿in the Oakland Harbor near the Jack London Aquatic Center/Estuary Park¿ at 37.790801°N, 122.263630°W. Later on 5/18/2018, the Army Corp of Engineers towed the whale to Angel Island for a necropsy. Due to logistics and winds, the necropsy was conducted on 5/21/2018 by a team from TMMC, CAS, UC Davis, and California Whale Rescue. A crew from BBC/PBS filmed the necropsy for an upcoming documentary.",
SW-2018-1202837,LMLER2018MAY17,"Whale, gray",CA,Santa Cruz,La Selva Beach,Pacific,36.927628,decimal degrees,-121.859766,decimal degrees,Y,Y,C,C,,N,,,,,,,,N,N,,,,,,,,5/17/18,Beach or Land,Moderate Decomposition,,5/17/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,YEARLING,756,cm,actual,,,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,5/17/18,Propeller wounds present near tail; vital response noted on wound edges,
SW-2018-1202999,CAS-MAC-244,"Whale, gray",CA,Marin,Sausalito,GGNRA - Tennessee Valley Beach,37.8412,decimal degrees,-122.552,decimal degrees,Y,Y,,Y,Trap/Pot Fishery,,,,,,,,,N,Y,,Y,,,Prop wounds,,,5/18/18,Beach or Land,Moderate Decomposition,Y,5/19/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,1092,cm,actual,,,,Y,Y,,,,,,,,,,,,,,Y,complete,5/19/18,See necropsy report for disposition of parts and specimens,
SW-2018-1202998,CAS-MAC-245,"Whale, fin",CA,Marin,Bolinas,1 mile offshore from Bolinas. Came ashore 05/23/2018,37.899042,decimal degrees,-122.697517,decimal degrees,Y,Y,,,,,,,,,,,,,Y,,Y,,,,,,5/22/18,Floating,Moderate Decomposition,,5/25/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,1,cm,estimate,,,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,5/25/18,See necropsy report for disposition of parts and samples taken,
SW-2018-1202907,CAS-SLP-582,"Whale, gray",CA,Marin,Inverness,PRNS - just south of Abbott's Lagoon,38.116028,decimal degrees,-122.959871,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,5/29/18,Beach or Land,Moderate Decomposition,Y,6/4/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,840,cm,estimate,,,notMeasured,Y,Y,,,,,,,,,,,,,,N,,,Right Pelvic bone to CAS. Skin sample to TMMC. All parts cranial of front flippers/shoulders were absent. Orca rake marks scattered throughout the body. Orca teeth marks on the margins of open wounds around the front flippers.,
SW-2018-1204343,MLMLMM3195,"Whale, gray",CA,Monterey,Sand City,"Tioga ave, walk north 1/4 mile",36.6211,decimal degrees,-121.849007,decimal degrees,CBD,,,,,,,,,,,,,N,CBD,,,,,,,,5/31/18,Beach or Land,Advanced Decomposition,Y,5/31/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,905,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,"Examiner was Shawn Hannah, data sheet entered into NDB by Heather Barrett",
SW-2018-1215717,WCRLB-20180602Bp,"Whale, fin",CA,Ventura,,approx 12nm SW of San Nicolas Island,33.083,decimal degrees,-119.666,decimal degrees,Y,Y,,,,,,,,,,,,,,,,,,,,vessel self reported vessel collision,6/2/18,Swimming,Alive,N,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,UNKNOWN,UNKNOWN,1400,cm,estimate,,,,N,,,,,,,,,,,,,,,N,,,"The Horizon Spirit encountered a whale strike this afternoon (6/2). This occurred 1245h, 33-05N, 119-40W, approx 12nm SW of San Nicolas Island. Whale wasapprox 45+ ft in length. 1316h: vessel slowed down to maneuvering speed. 1327h: whale was off bow (33.033, -119.850). 1400h: Vessel was back at passage course and speed",
SW-2018-1203142,CAS-MAC-247,"Whale, blue",CA,San Francisco,SAN FRANCISCO,Floating 2 miles east of the Farallon Islands,37.704,decimal degrees,-122.958,decimal degrees,Y,Y,,,,,,,,,,,,N,,,,,,,,,6/16/18,Floating,Moderate Decomposition,Y,6/19/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,1860,cm,actual,,,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,6/19/18,"This whale was initially reported on Saturday June 16th by a whale watching vessel at the Farallon Islands. The carcass was floating on her back with an extremely bloated tongue. The carcass ended up on shore at the southern end of Limantour beach on Monday June 18th near Santa Maria Creek. It was identified as the same whale by a notch in the left pectoral flipper. Necropsy was completed by TMMC, CAS, NOAA, and PRNS on 19 June 2018.",
SW-2018-1203948,WCRLB-20180702Mn,"Whale, humpback",CA,Los Angeles,Hermosa Beach,1 mile off Hermosa Beach,33.8507,decimal degrees,-118.4189,decimal degrees,Y,,,Y,Gillnet Fishery,,,,,,,,,Y,N,,,,,,,"blue mesh gillnet that has a stretch diameter of just under 12"" so not large mesh gillnet; ~10 floats on yellow twisted polypro line (some floats were black, some were white); lead line w/ leads also in tangled mass",7/2/18,Floating,Fresh Dead,,7/2/18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,UNKNOWN,1220,cm,estimate,,,notMeasured,Y,,,,Y,33.672,-118.649,,,,,,,Y,Towed several times: see back of Level A,N,,,"very severe entanglement that has been on this whale for sometime as indicated by the deep wounds and heavy cyamid load that is covering a lot of the dorsal surface of the body. Many wraps of gillnet, rope, and float forming tight nest around peduncle/flukes; blue mesh gillnet that has a stretch diameter of just under 12"" so not large mesh gillnet; ~10 floats on yellow twisted polypro line (some floats were black, some were white); lead line w/ leads also in tangled mass",
SW-2018-1203618,LMLMN2018JUL07,"Whale, humpback",CA,Santa Cruz,Watsonville,Manresa Beach,36.9342,decimal degrees,-121.8622,decimal degrees,Y,,,,,Y,Healed entanglement marks along fluke/peduncle,Marine Debris Entanglement,,,,,,N,CBD,,,,,,,,7/7/18,Beach or Land,Moderate Decomposition,Y,7/7/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,858,cm,actual,,,,Y,Y,,,,,,,,,,,,,,N,,,,
SW-2018-1203980,WCRLB-20180715Um,unidentified mysticete,CA,Santa Barbara,San Miguel,Back side of San Miguel Island,34.163889,decimal degrees,-120.561944,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,7/15/18,,Condition Unknown,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,,N,Y,,,,,,,,,,,,,,N,,,Very vague report of whale backside of San Miguel Island. Not sure if floating or on beach and unknown condition.,
SW-2018-1203672,PMMC-E-18-07-17-001,"Whale, gray",CA,Orange,DANA POINT,DEAD WHALE FLOATING OFF OF DANA POINT WEST JETTY,33.456943,decimal degrees,-117.686811,decimal degrees,CBD,,,,,,,,,,,,,N,CBD,,,,,,,,7/17/18,Floating,Moderate Decomposition,Y,7/17/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,336,in,estimate,,,notMeasured,Y,,,,Y,33.341488,-117.72582,,,,,,,,,Y,,,BLUBBER AND SKIN SAMPLE TAKEN. STORED AT PMMC,
SW-2018-1204930,CICRU-2018-13,"Whale, unidentified baleen",CA,San Luis Obispo,Pismo Beach,,35148,decimal degrees,-120.652,decimal degrees,CBD,,,,,,,,,,,,,,,,,,,,,,8/8/18,,Mummified/Skeletal,N,8/8/18,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,,Y,Y,,,,,,,,,,,,,,N,,,,
SW-2018-1204956,CICRU-2018-16,"Whale, humpback",CA,San Luis Obispo,Oceano Dunes,,35.04,decimal degrees,-120.63,decimal degrees,CBD,,,,,N,,,,,,,,,,,,,,,,,9/11/18,Beach or Land,Condition Unknown,N,9/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,notMeasured,,,,Y,,Y,,,,,,,,,,,,,N,,,"Some question about possible previous engagement scars from Pieter Folkens, but could not determine COD",
SW-2018-1205081,CAS-SLP-594,"Whale, humpback",CA,San Francisco,San Francisco,"On Fort Funston beach, due west of the sand ladder",37.712326,decimal degrees,-122.50401,decimal degrees,CBD,,,,,,,,,,,,,,Y,,,,,mandible broken in half,,,9/19/18,Floating,Advanced Decomposition,Y,9/20/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,SUBADULT,900,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,"partial carcass rolling in surf. tail flukes missing, heavy shark scavenging. only an estimated length was recorded on 10/01/18 a complete piece of baleen washed up on Ocean Beach at Vicente, which was archived with CAS. A flipper also washed up on Ocean Beach near Noriega but was not collected. January 2019 - part of the skull washed up on Ocean Beach, but was not collected",
SW-2018-1205914,WCRLB-20180924Unk,UNIDENTIFIED WHALE,CA,San Diego,San Diego,20 nm west of Point Loma,32.65,decimal degrees,-117.483333,decimal degrees,CBD,C,,,,,,,,,,,,,CBD,,,,,,,,9/24/18,Floating,Moderate Decomposition,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,notMeasured,N,Y,,,,,,,,,,,,,,N,,,"A Navy amphibious transport ship spotted a carcass at the indicated location while on routine transit offshore of San Diego. The Navy was not conducting any Major Training Events (MTE) in Southern California. The Navy ship was not involved with any cetacean collision, nor is the ship equipped with hull-mounted sonar",
SW-2018-1206452,WCRLB-20181002-2,"Whale, unidentified baleen",CA,Monterey,Monterey,Off Hopkins Point,36.625787,decimal degrees,-121.900688,decimal degrees,Y,Y,,,,,,,,,,,,,,,Y,,,,,"News Report: Off Hopkins Point, According to witness Marge Brigadier, a man who was boating with the woman said they were cruising through the water when they hit a bump. ""They hit something that he thought could only have been a whale.",10/2/18,Swimming,Alive,N,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,notMeasured,N,,,,,,,,,,,,,,,N,,,"Off Hopkins Point, a woman was thrown against a 20-foot-long power boat's glass windshield and suffered moderate injuries to her head and arm. According to witness Marge Brigadier, a man who was boating with the woman said they were cruising through the water when they hit a bump. ""They hit something that he thought could only have been a whale. They went flying up, and when she came back down, her head smashed against the windshield. There was a lot of blood,"" Brigadier said. https://www.ksbw.com/article/two-boats-collide-with-whales-in-monterey-bay/23585828",
SW-2018-1206451,WCRLB-20181002-1,"Whale, unidentified baleen",CA,Monterey,Monterey,Breakwater Cove,36.6126,decimal degrees,-121.8898,decimal degrees,Y,Y,,,,,,,,,,,,,Y,,Y,,,,,News report: A breaching whale caused a 10-foot-long boat to capsize with seven people onboard in Breakwater Cove,10/2/18,Swimming,Alive,N,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,notMeasured,,,notMeasured,N,,,,,,,,,,,,,,,N,,,A breaching whale caused a 10-foot-long boat to capsize with seven people onboard in Breakwater Cove. https://www.ksbw.com/article/two-boats-collide-with-whales-in-monterey-bay/23585828,
SW-2018-1208952,CAS-MEF-808,"Whale, humpback",CA,Marin,Muir Beach,on Beach north of Slide Ranch,37.875463,decimal degrees,-122.6018,decimal degrees,Y,Y,,,,,,,,,,,,N,CBD,,,,,,,,10/7/18,Floating,Moderate Decomposition,Y,10/8/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,1080,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,"This animal was reported floating offshore late Sunday night 10/7/18. The carcass washed ashore on 10/8/18 just north of Slide Ranch near Muir Beach. Due to the tides the necropsy team was not able access the whale until Thursday morning 10/11/18 and by then the carcass was rolling in the surf. Some estimated lengths were taken, as well as skin and skull fragments but a full necropsy could not be performed. There were skull fragments found on the beach where the whale had been stranded the evening before.",
SW-2018-1206453,WCRLB-20181008Bp,"Whale, fin",CA,Los Angeles,Long Beach,Port of Long Beach; POLB B35,33.75526,decimal degrees,-118.216624,decimal degrees,Y,Y,,,,,,,,,,,,,Y,,Y,,,Large impact wound on right side of body behind pec flipper. Jaws beginning to tear apart,,"Came in dead on bow of vessel, Grand Mercury",10/8/18,Floating,Fresh Dead,Y,10/10/18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,UNKNOWN,920,cm,estimate,,,,Y,,,,Y,,,,,,,,,,,N,,,"Came in dead on bow of vessel, Grand Mercury. Large impact wound on right side of body behind pec flipper. Jaws beginning to tear apart",
SW-2018-1206148,TMMC-C-584,"Whale, humpback",CA,Marin,,"Kehoe Beach South End, Point Reyes National Seashore, Gulf of the Farallones National Marine Sanctuary",38.147,decimal degrees,-122.9509,decimal degrees,Y,Y,,,,N,,,,,,,,,Y,,Y,,,Boat Strike,,,10/13/18,Beach or Land,Moderate Decomposition,Y,10/13/18,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,910,cm,actual,,,notMeasured,Y,Y,,,,,,,,,,,,,,Y,complete,10/13/18,"Whale found on the beach dead, but in good condition.",
SW-2018-1206448,CAS-SWG-039,"Whale, gray",CA,Mendocino,Manchester,"Irish Beach at Manchester SB, south of Alder Creek",39.000531,decimal degrees,-123.698768,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,11/13/18,Beach or Land,Advanced Decomposition,Y,11/13/18,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,SUBADULT,997,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,Young whale washed up in separate pieces on separate days in separate locations. See NOAA report. Caudal section washed ashore on 11/13/18 on Irish beach. Cranial section washed up on 11/15/18 at 39.013822 -123.693592,
SW-2018-1208532,WCRLB-20181224Unk,"Whale, unidentified baleen",CA,Ventura,Sycamore Beach,20 yards off shore of Sycamore Beach,34.0645,decimal degrees,-119.0141,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,12/24/18,Floating,Advanced Decomposition,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,915,cm,estimate,,,,N,,,,,,,,,,,,,,,N,,,"CG 6545 observed a 30 foot whale carcass approximately 20 yards off the shore at Sycamore Beach, Ventura County. The aircrew reported that whale's body was damaged and missing an estimated 30% of its mass.",
SW-2019-1207479,HSU20190115-SP1,"Whale, gray",CA,Humboldt,Trinidad,South of Scotty's Poing,41.093063,decimal degrees,-124.1583,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,1/15/19,Floating,Moderate Decomposition,Y,1/15/19,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,,,notMeasured,,,,Y,Y,,,,,,,,,,,,,,N,,,"Carcass reported to HSUMMSP via NCMMC and TMMC. Floating offshore of Trinidad CA, first spotted by Forest Service Aircraft. Community members also observed, carcass floated north, then south and came near shore at coordinates. Carcass remained in heavy surf so could not be examined safely. Was then washed back out to sea overnight and has not been located since. Caudle peduncle appeared to be broken with large bulge visible from a distance. Uncertain if this caused post mortem in rocky habitat or if caused during mortality event.",
SW-2019-1213930,CAS-Mn-22Jan19-MAC,"Whale, humpback",CA,Marin,Inverness,"PRNS - On Drake's Beach, west of the parking lot",38.017712,decimal degrees,-122.975099,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,1/22/19,Beach or Land,Advanced Decomposition,Y,1/22/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,1415,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,tissue sample collected. Carcass was very degraded with no skin available.,
SW-2019-1208633,SWFSC-KXD0337,"Whale, gray",CA,San Diego,Solana Beach,1 mile offshore Solana Beach,32.9699,decimal degrees,-117.2919,decimal degrees,CBD,,,,,,,,,,,,,,,,,,,,,,2/26/19,Floating,Moderate Decomposition,Y,2/26/19,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,914,cm,estimate,,,,Y,,,,Y,32.779533,-117.562583,,,,,,,,,N,,,"Species verified per photos. No samples collected. Whale was re-sighted 3 miles offshore Mission Beach on March 1. Lifeguards towed offshore and dropped at 32.779533,-117.562583 on March 1. Coast guard reported re-sighting of whale at 1145 March 3, 2019 at 32.747246, -117.519739.",
SW-2019-1208721,LACM-DSJ-2407,"Whale, gray",CA,Los Angeles,San Pedro,Point Fermin,33.705065,decimal degrees,-118.29289,decimal degrees,CBD,,,,,,,,,,,,,,,,,,,,,,3/4/19,Beach or Land,Fresh Dead,Y,3/8/19,Moderate Decomposition,Y,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,UNKNOWN,914,cm,actual,,,,Y,,,,Y,33.431,-118.998,,,,,,,,,Y,limited,3/8/19,,
SW-2019-1208771,CAS-Er-09Mar19-SLP,"Whale, gray",CA,Mendocino,Anchor Bay,On beach directly east of Fish Rocks,38.80276,decimal degrees,-123.588534,decimal degrees,CBD,,,,,,,,,,,,,,CBD,,,,,,,,3/9/19,Beach or Land,Advanced Decomposition,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,YEARLING,670,cm,estimate,,,,Y,Y,,,,,,,,,,,,,,N,,,ID'd via photo. Access is somewhat dangerous.,
